period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2000-05,SAL,USA-AL,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020AL3,Alabama Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),7.05,$/MCF
2000-05,SMI,USA-MI,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020MI4,Percent of Commercial Natural Gas Deliveries in Michigan Represented by the Price (%),51.3,%
2000-05,SLA,USA-LA,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020LA4,Percent of Commercial Natural Gas Deliveries in Louisiana Represented by the Price (%),96.8,%
2000-05,SKY,USA-KY,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020KY4,Percent of Commercial Natural Gas Deliveries in Kentucky Represented by the Price (%),79.3,%
2000-05,SWY,USA-WY,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020WY4,Percent of Commercial Natural Gas Deliveries in Wyoming Represented by the Price (%),89.9,%
2000-05,SDE,USA-DE,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020DE4,Percent of Commercial Natural Gas Deliveries in Delaware Represented by the Price (%),98.6,%
2000-05,SKS,USA-KS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020KS4,Percent of Commercial Natural Gas Deliveries in Kansas Represented by the Price (%),55.4,%
2000-05,SMT,USA-MT,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010MT3,Montana Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),6.49,$/MCF
2000-05,SUT,USA-UT,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010UT3,Utah Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),6.81,$/MCF
2000-05,SAL,USA-AL,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010AL3,Alabama Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),9.45,$/MCF
2000-05,SSD,USA-SD,EPG0,Natural Gas,PG1,City Gate Price,N3050SD3,Natural Gas Citygate Price in South Dakota (Dollars per Thousand Cubic Feet),7.12,$/MCF
2000-05,SAZ,USA-AZ,EPG0,Natural Gas,PG1,City Gate Price,N3050AZ3,Natural Gas Citygate Price in Arizona (Dollars per Thousand Cubic Feet),3.84,$/MCF
2000-05,SCT,USA-CT,EPG0,Natural Gas,PG1,City Gate Price,N3050CT3,Natural Gas Citygate Price in Connecticut (Dollars per Thousand Cubic Feet),6.62,$/MCF
2000-05,SFL,FLORIDA,EPG0,Natural Gas,PG1,City Gate Price,N3050FL3,Natural Gas Citygate Price in Florida (Dollars per Thousand Cubic Feet),4.07,$/MCF
2000-05,SNV,USA-NV,EPG0,Natural Gas,PG1,City Gate Price,N3050NV3,Natural Gas Citygate Price in Nevada (Dollars per Thousand Cubic Feet),4.39,$/MCF
2000-05,SIN,USA-IN,EPG0,Natural Gas,PG1,City Gate Price,N3050IN3,Natural Gas Citygate Price in Indiana (Dollars per Thousand Cubic Feet),3.09,$/MCF
2000-05,SMA,MASSACHUSETTS,EPG0,Natural Gas,PG1,City Gate Price,N3050MA3,Natural Gas Citygate Price in Massachusetts (Dollars per Thousand Cubic Feet),5.85,$/MCF
2000-05,STN,USA-TN,EPG0,Natural Gas,PG1,City Gate Price,N3050TN3,Natural Gas Citygate Price in Tennessee (Dollars per Thousand Cubic Feet),3.94,$/MCF
2000-05,SDE,USA-DE,EPG0,Natural Gas,PG1,City Gate Price,N3050DE3,Natural Gas Citygate Price in Delaware (Dollars per Thousand Cubic Feet),2.82,$/MCF
2000-05,SMO,USA-MO,EPG0,Natural Gas,PG1,City Gate Price,N3050MO3,Natural Gas Citygate Price in Missouri (Dollars per Thousand Cubic Feet),5.66,$/MCF
2000-05,SFL,FLORIDA,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020FL3,Florida Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),7.39,$/MCF
2000-05,SMS,USA-MS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020MS3,Mississippi Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),5.68,$/MCF
2000-05,SGA,USA-GA,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020GA3,Georgia Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),2.45,$/MCF
2000-05,SRI,USA-RI,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020RI4,Percent of Commercial Natural Gas Deliveries in Rhode Island Represented by the Price (%),60.6,%
